516	-125		26	49
517	0		30	49
518	0		31	49
519	0		34	49
520	-36		32	49
521	-100		35	49
522	-200		36	49
523	-200		37	49
524	-16		38	49
525	-50		44	49
526	3875.72		0	50
527	0.02		6	50
528	-917.54		8	50
529	-250		13	50
530	-100		14	50
531	-65		15	50
532	-23		18	50
533	-75		16	50
534	-25		19	50
535	-12.5		21	50
536	-20		20	50
537	-350		17	50
538	-458.25		22	50
539	-125		26	50
540	0		30	50
541	0		31	50
542	0		34	50
543	-36		32	50
544	-100		35	50
545	-200		36	50
546	-200		37	50
547	-16		38	50
548	-50		44	50
549	3875.72		0	51
550	0.02		6	51
551	-917.54		8	51
552	-250		13	51
553	-100		14	51
554	-65		15	51
555	-23		18	51
556	-75		16	51
557	-25		19	51
558	-12.5		21	51
559	-20		20	51
560	-350		17	51
561	-458.25		22	51
562	-125		26	51
563	0		30	51
564	0		31	51
565	0		34	51
566	-36		32	51
567	-100		35	51
568	-200		36	51
569	-200		37	51
570	-16		38	51
571	-50		44	51
572	3875.72		0	52
573	0.02		6	52
574	-917.54		8	52
575	-250		13	52
576	-100		14	52
577	-65		15	52
578	-23		18	52
579	-75		16	52
580	-25		19	52
581	-12.5		21	52
582	-20		20	52
583	-350		17	52
584	-458.25		22	52
585	-125		26	52
586	0		30	52
587	0		31	52
588	0		34	52
589	-36		32	52
590	-100		35	52
591	-200		36	52
592	-200		37	52
593	-16		38	52
594	-50		44	52
595	3875.72		0	53
596	0.02		6	53
597	-917.54		8	53
598	-250		13	53
599	-100		14	53
600	-65		15	53
601	-23		18	53
602	-75		16	53
603	-25		19	53
604	-12.5		21	53
605	-20		20	53
606	-350		17	53
607	-458.25		22	53
608	-125		26	53
609	0		30	53
610	0		31	53
611	0		34	53
612	-36		32	53
613	-100		35	53
614	-200		36	53
615	-200		37	53
616	-16		38	53
617	-50		44	53
618	-382.83		10	53
619	3875.72		0	54
620	0.02		6	54
621	-917.54		8	54
622	-250		13	54
623	-100		14	54
624	-65		15	54
625	-23		18	54
626	-75		16	54
627	-25		19	54
628	-12.5		21	54
629	-20		20	54
630	-350		17	54
631	-458.25		22	54
632	-125		26	54
633	0		30	54
634	0		31	54
635	0		34	54
636	-36		32	54
637	-100		35	54
638	-200		36	54
639	-200		37	54
640	-16		38	54
641	-50		44	54
642	-382.83		10	54
643	3875.72		0	55
644	0.02		6	55
645	-917.54		8	55
646	-250		13	55
647	-100		14	55
648	-65		15	55
649	-23		18	55
650	-75		16	55
651	-25		19	55
652	-12.5		21	55
653	-20		20	55
654	-350		17	55
655	-458.25		22	55
656	-125		26	55
657	0		30	55
658	0		31	55
659	0		34	55
660	-36		32	55
661	-100		35	55
662	-200		36	55
663	-200		37	55
664	-16		38	55
665	-50		44	55
666	-382.83		10	55
667	3875.72		0	56
668	0.02		6	56
669	-917.54		8	56
670	-250		13	56
671	-100		14	56
672	-65		15	56
673	-23		18	56
674	-75		16	56
675	-25		19	56
676	-12.5		21	56
677	-20		20	56
678	-350		17	56
679	-458.25		22	56
680	-125		26	56
681	0		30	56
682	0		31	56
683	0		34	56
684	-36		32	56
685	-100		35	56
686	-200		36	56
687	-200		37	56
688	-16		38	56
689	-50		44	56
690	-382.83		10	56
691	3920.44		0	57
692	0.02		6	57
693	-917.54		8	57
694	-250		13	57
695	-100		14	57
696	-92		15	57
697	0		18	57
698	-97		16	57
699	-25		19	57
700	-12.5		21	57
701	-125		20	57
702	-350		17	57
703	-457.5		22	57
704	-125		26	57
705	0		30	57
706	0		31	57
707	0		34	57
708	-43		32	57
709	-100		35	57
